Ticker,Financial Period,Total Assets,Total Liabilities,Equity,Issued and paid-up share capital,Gross Profit,Operating Revenue,Total Costs and Expenses,Profit Before Finance Costs and Income Tax Expenses,Net Profit,Profit,ROA,ROE,Net Profit Margin,Debt to Equity Ratio,Important Stats,Last Price,Market Capitalization,Book Value Per Share,P/E,P/BV,Dividend Yield,Year
AAV.BK,2019-12-31,62902.56,35214.09,19943.88,485.0,41202.63,40180.65,41653.13,-100.03,-474.0,-0.1,-0.16,-2.35,-2.1,1.27,2019-12-30,2.24,10864.0,4.12,,0.54,14.96,2019
AAV.BK,2020-12-31,67977.67,50617.36,14266.11,485.0,16260.96,13633.87,23788.08,-7527.12,-4764.09,-0.98,-11.5,-27.85,-53.3,2.92,2020-12-30,2.36,11446.0,3.11,,0.76,,2020
AAV.BK,2021-12-31,71208.33,54379.53,20201.1,987.86,4558.62,3828.47,16358.82,-11800.2,-6647.49,-1.3,-16.96,-38.57,-262.32,3.23,2021-12-30,2.54,25091.57,1.71,,3.11,,2021
AAV.BK,2022-09-30,66670.81,61956.02,4714.79,1173.57,9525.39,9289.43,22260.29,-12734.9,-11144.39,-0.97,-22.62,-180.36,-118.93,13.14,2022-12-30,3.06,37222.71,0.45,,6.81,,2022
AAV.BK,,,,,,,,,,,,,,,,2023-01-13,3.02,36736.14,0.45,,6.72,,2023
ACE.BK,2019-12-31,14145.18,3352.14,10793.04,5088.0,5088.17,5055.27,3759.7,1224.96,815.31,0.09,8.74,9.96,16.02,0.31,2019-12-30,4.22,42942.72,,62.46,,,2019
ACE.BK,2020-12-31,16429.69,4436.86,11992.83,5088.0,6038.96,5858.14,4389.07,1656.57,1507.64,0.15,10.84,13.23,24.97,0.37,2020-12-30,3.64,37040.64,1.15,24.71,3.15,,2020
ACE.BK,2021-12-31,18740.2,5371.62,13315.33,5088.0,5739.67,5726.92,4158.32,1749.31,1505.68,0.15,9.95,11.9,26.23,0.4,2021-12-30,3.5,35616.0,1.27,25.58,2.75,1.37,2021
ACE.BK,2022-09-30,19758.94,5514.6,14186.55,5088.0,5086.59,5073.45,3979.21,1292.32,1087.95,0.11,9.02,10.73,21.38,0.39,2022-12-30,2.7,27475.2,1.4,18.75,1.92,0.75,2022
ACE.BK,,,,,,,,,,,,,,,,2023-01-13,2.68,27271.68,1.41,18.55,1.9,0.75,2023
ADVANC.BK,2019-12-31,289669.12,220274.95,69266.1,2973.18,181740.18,180893.69,139784.36,42178.37,31189.57,10.49,14.54,49.2,17.16,3.17,2019-12-30,213.0,633287.05,20.84,20.45,10.22,3.32,2019
ADVANC.BK,2020-12-31,350170.58,274481.21,75563.98,2973.55,173720.31,172890.27,135346.98,38443.22,27434.36,9.23,12.02,37.88,15.79,3.63,2020-12-30,176.0,523345.56,23.04,19.15,7.64,4.17,2020
