Ticker,Industry Group,Sector
AAV.BK,บริการ,ขนส่งและโลจิสติกส์
ACE.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
ADVANC.BK,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร
AMATA.BK,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
AOT.BK,บริการ,ขนส่งและโลจิสติกส์
AP.BK,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
AWC.BK,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
BAM.BK,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
BANPU.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
BBL.BK,ธุรกิจการเงิน,ธนาคาร
BCH.BK,บริการ,การแพทย์
BCP.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
BCPG.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
BDMS.BK,บริการ,การแพทย์
BEC.BK,บริการ,สื่อและสิ่งพิมพ์
BEM.BK,บริการ,ขนส่งและโลจิสติกส์
BGRIM.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
BH.BK,บริการ,การแพทย์
BLA.BK,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต
BTS.BK,บริการ,ขนส่งและโลจิสติกส์
BYD.BK,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
CBG.BK,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
CENTEL.BK,บริการ,การท่องเที่ยวและสันทนาการ
CHG.BK,บริการ,การแพทย์
CK.BK,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง
CKP.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
COM7.BK,บริการ,พาณิชย์
CPALL.BK,บริการ,พาณิชย์
CPF.BK,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
CPN.BK,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
CRC.BK,บริการ,พาณิชย์
DELTA.BK,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์
DOHOME.BK,บริการ,พาณิชย์
DTAC.BK,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร
EA.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
EGCO.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
EPG.BK,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง
ESSO.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
FORTH.BK,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร
GLOBAL.BK,บริการ,พาณิชย์
GPSC.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
GULF.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
GUNKUL.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
HANA.BK,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์
HMPRO.BK,บริการ,พาณิชย์
INTUCH.BK,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร
IRPC.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
IVL.BK,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์
JAS.BK,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร
JMART.BK,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร
JMT.BK,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
KBANK.BK,ธุรกิจการเงิน,ธนาคาร
KCE.BK,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์
KEX.BK,บริการ,ขนส่งและโลจิสติกส์
KKP.BK,ธุรกิจการเงิน,ธนาคาร
KTB.BK,ธุรกิจการเงิน,ธนาคาร
KTC.BK,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
LH.BK,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
MEGA.BK,บริการ,พาณิชย์
MINT.BK,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
MTC.BK,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
NEX.BK,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์
ONEE.BK,บริการ,สื่อและสิ่งพิมพ์
OR.BK,ทรัพยากร,พลังงานและสาธารณูปโภค
ORI.BK,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
OSP.BK,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
PLANB.BK,บริการ,สื่อและสิ่งพิมพ์
PSL.BK,บริการ,ขนส่งและโลจิสติกส์
